ZipCode,StartTime(UTC)_Traffic,EndTime(UTC)_Traffic,Type_Traffic,Severity_Traffic,Type_Weather,Severity_Weather
86005.0,2017-07-28 19:37:54,2017-07-28 20:07:16,Accident,3,Rain,Light
86301.0,2017-07-28 22:55:00,2017-07-28 23:53:52,Congestion,2,Rain,Light
86005.0,2017-07-28 22:58:00,2017-07-28 23:49:52,Congestion,1,Rain,Light
85706.0,2017-07-28 23:23:31,2017-07-28 23:53:18,Accident,2,Rain,Heavy
85128.0,2017-07-29 11:33:00,2017-07-29 12:13:42,Congestion,2,Cold,Severe
85128.0,2017-07-29 14:23:00,2017-07-29 15:04:59,Congestion,1,Cold,Severe
86336.0,2017-07-30 02:37:00,2017-07-30 03:17:43,Congestion,2,Rain,Light
85541.0,2017-07-30 21:04:00,2017-07-30 21:46:03,Congestion,1,Rain,Light
85541.0,2017-08-01 18:52:00,2017-08-01 19:33:34,Congestion,1,Cold,Severe
85901.0,2017-08-01 20:19:43,2017-08-01 20:49:25,Accident,2,Rain,Light
86336.0,2017-08-02 01:26:18,2017-08-02 01:55:30,Accident,2,Rain,Heavy
85541.0,2017-08-02 09:17:00,2017-08-02 09:59:25,Congestion,1,Cold,Severe
85541.0,2017-08-03 16:25:24,2017-08-03 17:10:09,Accident,2,Cold,Severe
85541.0,2017-08-03 16:40:59,2017-08-03 17:25:34,Lane-Blocked,2,Cold,Severe
85024.0,2017-08-03 22:23:00,2017-08-03 23:04:59,Congestion,1,Rain,Light
85034.0,2017-08-03 23:33:00,2017-08-04 00:19:57,Congestion,0,Rain,Light
86336.0,2017-08-05 09:34:00,2017-08-05 10:15:04,Congestion,2,Rain,Light
86336.0,2017-08-14 02:14:00,2017-08-14 03:10:55,Congestion,1,Rain,Light
85128.0,2017-08-14 02:56:00,2017-08-14 03:41:56,Congestion,1,Cold,Severe
85128.0,2017-08-20 00:02:00,2017-08-20 00:42:22,Congestion,2,Cold,Severe
86005.0,2017-08-20 20:33:00,2017-08-20 21:19:42,Congestion,2,Rain,Light
86005.0,2017-08-20 21:59:00,2017-08-20 22:49:33,Congestion,0,Rain,Moderate
86005.0,2017-08-20 23:08:00,2017-08-20 23:49:25,Congestion,0,Rain,Light
86336.0,2017-08-20 23:09:00,2017-08-20 23:49:25,Congestion,0,Rain,Light
86336.0,2017-08-20 23:29:00,2017-08-21 00:10:35,Congestion,0,Rain,Light
86336.0,2017-08-21 00:21:00,2017-08-21 01:06:27,Congestion,1,Rain,Light
86336.0,2017-08-21 00:35:00,2017-08-21 01:25:30,Congestion,1,Rain,Light
86336.0,2017-08-21 00:50:00,2017-08-21 01:30:32,Congestion,0,Rain,Light
86401.0,2017-08-21 17:45:00,2017-08-21 18:28:39,Congestion,1,Rain,Light
85706.0,2017-08-22 14:12:52,2017-08-22 14:42:33,Accident,2,Cold,Severe
85706.0,2017-08-22 14:14:00,2017-08-22 14:56:57,Congestion,1,Cold,Severe
85122.0,2017-08-22 23:42:00,2017-08-23 00:26:02,Congestion,1,Cold,Severe
85286.0,2017-08-27 10:22:00,2017-08-27 11:02:45,Congestion,2,Cold,Severe
86005.0,2017-08-29 20:11:00,2017-08-29 20:52:37,Congestion,1,Rain,Moderate
86023.0,2017-09-05 21:08:00,2017-09-05 21:50:08,Congestion,2,Rain,Light
86429.0,2017-09-07 14:05:00,2017-09-07 14:47:31,Congestion,0,Cold,Severe
85286.0,2017-09-08 05:05:00,2017-09-08 05:45:20,Congestion,2,Rain,Light
85286.0,2017-09-08 05:16:00,2017-09-08 05:56:20,Congestion,2,Rain,Light
86429.0,2017-09-08 09:20:00,2017-09-08 10:05:22,Congestion,1,Cold,Severe
86429.0,2017-09-08 09:37:00,2017-09-08 10:27:25,Congestion,1,Cold,Severe
86429.0,2017-09-08 09:46:00,2017-09-08 10:28:24,Congestion,1,Cold,Severe
86505.0,2017-09-10 00:36:00,2017-09-10 01:18:49,Congestion,1,Rain,Light
85128.0,2017-09-11 19:13:00,2017-09-11 19:53:20,Congestion,2,Cold,Severe
85128.0,2017-09-18 00:50:00,2017-09-18 01:31:34,Congestion,1,Cold,Severe
85128.0,2017-09-27 16:04:00,2017-09-27 16:45:47,Congestion,1,Cold,Severe
85128.0,2017-10-07 16:02:00,2017-10-07 16:44:08,Congestion,2,Cold,Severe
85128.0,2017-10-16 13:45:51,2017-10-16 14:15:23,Flow-Incident,3,Cold,Severe
86046.0,2017-10-17 17:39:00,2017-10-17 18:20:47,Congestion,2,Fog,Moderate
85128.0,2017-10-18 13:21:13,2017-10-18 13:50:02,Flow-Incident,3,Cold,Severe
85128.0,2017-10-23 17:29:00,2017-10-23 18:11:12,Congestion,1,Cold,Severe
85128.0,2017-11-04 00:37:00,2017-11-04 01:17:35,Congestion,2,Cold,Severe
85128.0,2017-11-04 00:46:21,2017-11-04 01:16:06,Broken-Vehicle,2,Cold,Severe
85128.0,2017-11-13 23:20:42,2017-11-13 23:50:30,Accident,2,Cold,Severe
85128.0,2017-11-15 00:52:00,2017-11-15 01:34:10,Congestion,1,Cold,Severe
85901.0,2017-11-15 14:56:00,2017-11-15 15:38:52,Congestion,1,Fog,Moderate
85215.0,2017-11-30 15:20:00,2017-11-30 16:09:44,Congestion,2,Cold,Severe
85128.0,2017-12-12 14:43:37,2017-12-12 15:28:26,Accident,2,Cold,Severe
85128.0,2017-12-14 03:50:24,2017-12-14 04:20:05,Lane-Blocked,2,Cold,Severe
85735.0,2017-12-16 03:02:40,2017-12-16 03:32:26,Accident,2,Cold,Severe
86505.0,2017-12-21 14:38:00,2017-12-21 15:20:37,Congestion,0,Snow,Light
86046.0,2018-01-10 04:15:00,2018-01-10 04:57:10,Congestion,2,Snow,Light
86046.0,2018-01-10 04:27:00,2018-01-10 05:09:07,Congestion,2,Snow,Light
86046.0,2018-01-10 04:28:00,2018-01-10 05:14:08,Congestion,1,Snow,Light
86046.0,2018-01-10 04:29:00,2018-01-10 05:24:08,Congestion,1,Snow,Light
86046.0,2018-01-10 04:33:00,2018-01-10 05:14:08,Congestion,2,Snow,Light
86046.0,2018-01-10 04:37:00,2018-01-10 05:18:08,Congestion,3,Snow,Light
86046.0,2018-01-10 04:37:00,2018-01-10 05:19:08,Congestion,2,Snow,Light
86046.0,2018-01-10 04:40:00,2018-01-10 05:29:10,Congestion,3,Snow,Light
86046.0,2018-01-10 04:40:00,2018-01-10 05:44:08,Congestion,3,Snow,Light
86046.0,2018-01-10 04:43:00,2018-01-10 05:24:08,Congestion,1,Snow,Light
86046.0,2018-01-10 04:46:00,2018-01-10 05:28:08,Congestion,2,Snow,Light
86046.0,2018-01-10 04:47:00,2018-01-10 05:28:08,Congestion,2,Snow,Light
86046.0,2018-01-10 04:48:00,2018-01-10 06:33:08,Congestion,2,Snow,Light
